Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ABLINS, A,6,8,22
ABLOOM, A,6,10,26
ABLOW, A,5,10,20
ABLUDE, A,6,9,24
ABLUENT, A,7,9,27
ABLUSH, A,6,11,30
ABLUTION, A,8,10,36
ABLUTIONARY, A,11,16,56
ABLUVION, A,8,13,47
ABMHO, A,5,12,24
ABNEGATE, A,8,11,39
ABNEGATION, A,10,13,45
ABNEGATIVE, A,10,16,56
ABNEGATOR, A,9,12,42
ABNERVAL, A,8,13,47
ABNEURAL, A,8,10,36
ABNORMAL, A,8,12,42
ABNORMALIST, A,11,15,51
ABNORMALITY, A,11,18,62
ABNORMALLY, A,10,17,59
ABNORMALNESS, A,12,16,54
ABNORMITY, A,9,16,56
ABNORMOUS, A,9,13,45
ABOARD, A,6,9,24
ABODEMENT, A,9,14,48
ABODY, A,5,11,22
ABOHM, A,5,12,24
ABOLISH, A,7,12,36
ABOLISHER, A,9,14,50
ABOLISHMENT, A,11,18,62
ABOLITION, A,9,11,39
ABOLITIONARY, A,12,17,59
ABOLITIONISM, A,12,16,54
ABOLITIONIST, A,12,14,48
ABOLLA, A,6,8,22
ABOMASUS, A,8,12,42
ABOMINATE, A,9,13,45
ABOMINATION, A,11,15,51
ABOMINATOR, A,10,14,48
ABOMINE, A,7,11,31
ABONGO, A,6,9,24
ABORAD, A,6,9,24
ABORAL, A,6,8,22
ABORALLY, A,8,13,47
ABORIGINAL, A,10,13,45
ABORIGINALITY, A,13,19,65
ABORIGINALLY, A,12,18,62
ABORIGINARY, A,11,17,59
ABORIGINE, A,9,12,42
ABORTED, A,7,10,29
ABORTICIDE, A,10,15,51
ABORTIENT, A,9,11,39
ABORTIFACIENT, A,13,20,68
ABORTIN, A,7,9,27
ABORTION, A,8,10,36
ABORTIONAL, A,10,12,42
ABORTIONIST, A,11,13,45
ABORTIVE, A,8,13,47
ABORTIVELY, A,10,18,62
ABORTIVENESS, A,12,17,59
ABORTUS, A,7,9,27
ABOUCHEMENT, A,11,20,68
ABOUND, A,6,9,24
ABOUNDER, A,8,11,39
ABOUNDING, A,9,13,45
ABOUNDINGLY, A,11,18,62
ABOUTS, A,6,8,22
ABOVE, A,5,10,20
ABOVEGROUND, A,11,18,62
ABOVEPROOF, A,10,20,68
ABOVESTAIRS, A,11,16,56
ABRACHIA, A,8,15,53
ABRADANT, A,8,11,39
ABRADE, A,6,9,24
ABRADER, A,7,10,29
ABRAHAM, A,7,14,40
ABRAHAMIC, A,9,18,62
ABRAHAMIDAE, A,11,19,65
ABRAHAMITE, A,10,17,59
ABRAHAMITIC, A,11,20,68
ABRAID, A,6,9,24
ABRAMIS, A,7,11,31
ABRANCHIAL, A,10,17,59
ABRANCHIALISM, A,13,22,74
ABRANCHIAN, A,10,17,59
ABRANCHIATA, A,11,18,62
ABRANCHIATE, A,11,18,62
ABRANCHIOUS, A,11,18,62
ABRASE, A,6,8,22
ABRASH, A,6,11,30
ABRASIOMETER, A,12,16,54
ABRASION, A,8,10,36
ABRASIVE, A,8,13,47
ABRASTOL, A,8,10,36
ABRAUM, A,6,10,26
ABREACT, A,7,11,31
ABREACTION, A,10,14,48
ABREAST, A,7,9,27
