Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ANARCHIST, A,9,14,50
ANARCHY, A,7,15,42
ANARCOTIN, A,9,11,39
ANARETIC, A,8,10,36
ANARETICAL, A,10,12,42
ANARGYROS, A,9,13,47
ANARTHRIA, A,9,12,44
ANARTHRIC, A,9,14,50
ANARTHROPOD, A,11,17,59
ANARTHROPODA, A,12,18,62
ANARTHROPODOUS, A,14,20,68
ANARTHROSIS, A,11,14,50
ANARTHROUS, A,10,13,47
ANARTHROUSLY, A,12,18,62
ANARTHROUSNESS, A,14,17,59
ANARTISMOS, A,10,12,42
ANARYA, A,6,9,26
ANARYAN, A,7,10,32
ANASARCA, A,8,10,36
ANASARCOUS, A,10,12,42
ANASEISMIC, A,10,14,48
ANASITCH, A,8,13,47
ANASPADIAS, A,10,13,45
ANASPALIN, A,9,11,39
ANASPIDA, A,8,11,39
ANASPIDACEA, A,11,16,54
ANASPIDES, A,9,12,42
ANASTALSIS, A,10,10,32
ANASTALTIC, A,10,12,42
ANASTASIA, A,9,9,29
ANASTASIAN, A,10,10,32
ANASTASIMON, A,11,13,45
ANASTASIMOS, A,11,13,45
ANASTASIS, A,9,9,29
ANASTASIUS, A,10,10,32
ANASTATE, A,8,8,26
ANASTATIC, A,9,11,39
ANASTATICA, A,10,12,42
ANASTATUS, A,9,9,29
ANASTIGMAT, A,10,13,45
ANASTIGMATIC, A,12,17,57
ANASTOMOSE, A,10,12,42
ANASTOMOSIS, A,11,13,45
ANASTOMOTIC, A,11,15,51
ANASTOMUS, A,9,11,39
ANASTROPHE, A,10,15,53
ANASTROPHIA, A,11,16,56
ANATHEMA, A,8,13,47
ANATHEMATIC, A,11,18,62
ANATHEMATICAL, A,13,20,68
ANATHEME, A,8,13,47
ANATHERUM, A,9,14,50
ANATIDAE, A,8,9,31
ANATIFA, A,7,10,32
ANATIFAE, A,8,11,41
ANATIFER, A,8,11,41
ANATIFEROUS, A,11,14,50
ANATINACEA, A,10,12,42
ANATINAE, A,8,8,26
ANATOCISM, A,9,13,45
ANATOLIAN, A,9,9,29
ANATOLIC, A,8,10,36
ANATOMIC, A,8,12,42
ANATOMICAL, A,10,14,48
ANATOMICALLY, A,12,19,65
ANATOMIST, A,9,11,39
ANATOMY, A,7,12,36
ANATOPISM, A,9,13,45
ANATREPTIC, A,10,14,48
ANATRIPSIS, A,10,12,42
ANATRIPSOLOGY, A,13,19,65
ANATRIPTIC, A,10,14,48
ANATROPAL, A,9,11,39
ANATROPIA, A,9,11,39
ANATROPOUS, A,10,12,42
ANATUM, A,6,8,22
ANAUDIA, A,7,8,22
ANAUNTER, A,8,8,26
ANAUNTERS, A,9,9,29
ANBURY, A,6,11,30
ANCERATA, A,8,10,36
ANCESTOR, A,8,10,36
ANCESTORIAL, A,11,13,45
ANCESTORIALLY, A,13,18,62
ANCESTRAL, A,9,11,39
ANCESTRALLY, A,11,16,56
ANCESTRESS, A,10,12,42
ANCESTRIAL, A,10,12,42
ANCESTRIAN, A,10,12,42
ANCESTRY, A,8,13,47
ANCHA, A,5,10,20
ANCHAT, A,6,11,30
ANCHIETEA, A,9,14,50
ANCHIETIN, A,9,14,50
ANCHIETINE, A,10,15,53
ANCHISAURUS, A,11,16,56
ANCHISES, A,8,13,47
ANCHISTEA, A,9,14,50
ANCHISTOPODA, A,12,20,68
ANCHOR, A,6,11,30
ANCHORABLE, A,10,17,59
ANCHORAGE, A,9,15,53
ANCHORATE, A,9,14,50
ANCHORED, A,8,14,50
ANCHORER, A,8,13,47
ANCHORESS, A,9,14,50
ANCHORET, A,8,13,47
ANCHORETISM, A,11,18,62
ANCHORITE, A,9,14,50
ANCHORITESS, A,11,16,56
ANCHORITISM, A,11,18,62
ANCHORLESS, A,10,15,53
ANCHORWISE, A,10,18,62
ANCHOVY, A,7,18,48
ANCHUSA, A,7,12,36
ANCHUSIN, A,8,13,47
ANCHUSINE, A,9,14,50
ANCHYLOSE, A,9,17,59
ANCHYLOSIS, A,10,18,62
ANCIENT, A,7,9,27
ANCIENTISM, A,10,14,48
ANCIENTLY, A,9,14,50
ANCIENTNESS, A,11,13,45
ANCIENTRY, A,9,14,50
ANCIENTY, A,8,13,47
ANCILE, A,6,8,22
ANCILLA, A,7,9,27
ANCILLARY, A,9,14,50
ANCIPITAL, A,9,13,45
ANCIPITOUS, A,10,14,48
ANCISTROID, A,10,13,45
ANCONA, A,6,8,22
ANCONAD, A,7,10,29
ANCONAGRA, A,9,12,42
ANCONAL, A,7,9,27
ANCONE, A,6,8,22
ANCONEAL, A,8,10,36
ANCONEOUS, A,9,11,39
ANCONEUS, A,8,10,36
ANCONITIS, A,9,11,39
ANCONOID, A,8,11,39
ANCONY, A,6,11,30
ANCORA, A,6,8,22
ANCORAL, A,7,9,27
ANCYLOPOD, A,9,17,59
ANCYLOPODA, A,10,18,62
ANCYLOSTOMA, A,11,18,62
ANCYLOSTOME, A,11,18,62
ANCYLUS, A,7,12,36
ANCYREAN, A,8,13,47
ANCYRENE, A,8,13,47
ANDABATARIAN, A,12,15,51
ANDALUSIAN, A,10,11,37
ANDALUSITE, A,10,11,37
ANDAMAN, A,7,10,29
ANDAMANESE, A,10,13,45
ANDANTE, A,7,8,22
ANDANTINO, A,9,10,34
ANDASTE, A,7,8,22
ANDESIC, A,7,10,29
ANDESINE, A,8,9,31
ANDESINITE, A,10,11,37
ANDESITE, A,8,9,31
ANDESITIC, A,9,12,42
ANDEVO, A,6,10,28
ANDHRA, A,6,10,28
ANDIRIN, A,7,8,22
ANDIRINE, A,8,9,31
ANDIROBA, A,8,11,39
ANDIRON, A,7,8,22
ANDORITE, A,8,9,31
ANDOROBO, A,8,11,39
ANDORRAN, A,8,9,31
ANDOUILLET, A,10,11,37
ANDRADITE, A,9,11,37
ANDRANATOMY, A,11,17,59
ANDRARCHY, A,9,18,62
ANDREAEA, A,8,9,31
ANDREAEACEAE, A,12,15,51
ANDREAEALES, A,11,12,40
ANDRENA, A,7,8,22
ANDRENID, A,8,10,34
ANDRENIDAE, A,10,12,40
ANDREW, A,6,10,28
ANDREWSITE, A,10,14,50
ANDRIANA, A,8,9,31
ANDRIAS, A,7,8,22
ANDRIC, A,6,9,24
ANDROCEPHALOUS, A,14,22,74
ANDROCEPHALUM, A,13,23,77
ANDROCLINIUM, A,12,17,57
ANDROCLUS, A,9,12,42
ANDROCONIUM, A,11,16,54
ANDROCYTE, A,9,15,53
ANDRODIOECIOUS, A,14,18,60
ANDRODIOECISM, A,13,19,63
ANDRODYNAMOUS, A,13,20,68
ANDROECIAL, A,10,13,45
ANDROECIUM, A,10,15,51
ANDROGEN, A,8,10,34
ANDROGENESIS, A,12,14,46
ANDROGENETIC, A,12,16,54
ANDROGENIC, A,10,14,48
ANDROGENOUS, A,11,13,43
ANDROGINOUS, A,11,13,43
ANDROGONE, A,9,11,37
ANDROGONIA, A,10,12,40
ANDROGONIAL, A,11,13,43
ANDROGONIDIUM, A,13,18,60
ANDROGONIUM, A,11,15,51
ANDROGRAPHIS, A,12,19,65
ANDROGYNAL, A,10,15,53
ANDROGYNE, A,9,14,50
ANDROGYNIA, A,10,15,53
ANDROGYNISM, A,11,18,62
ANDROGYNOUS, A,11,16,56
ANDROGYNUS, A,10,15,53
ANDROID, A,7,9,24
ANDROIDAL, A,9,11,37
ANDROLEPSIA, A,11,14,48
ANDROLEPSY, A,10,16,56
ANDROMACHE, A,10,18,62
ANDROMANIA, A,10,13,45
ANDROMEDA, A,9,13,45
ANDROMEDE, A,9,13,45
ANDROMORPHOUS, A,13,21,71
ANDRONICUS, A,10,13,45
ANDRONITIS, A,10,11,37
ANDROPETALAR, A,12,15,51
ANDROPETALOUS, A,13,16,54
ANDROPHAGOUS, A,12,19,65
ANDROPHOBIA, A,11,19,65
ANDROPHORE, A,10,16,56
ANDROPHOROUS, A,12,18,62
ANDROPHORUM, A,11,19,65
ANDROPHYLL, A,10,19,65
ANDROPOGON, A,10,14,48
ANDROSACE, A,9,12,42
ANDROSCOGGIN, A,12,17,57
ANDROSEME, A,9,12,42
ANDROSIN, A,8,9,31
ANDROSPORE, A,10,13,45
ANDROSTERONE, A,12,13,43
ANDROTAURIC, A,11,14,48
ANDROTOMY, A,9,15,53
ANEATH, A,6,9,26
ANECDOTA, A,8,11,39
ANECDOTAGE, A,10,14,48
ANECDOTAL, A,9,12,42
ANECDOTALISM, A,12,17,57
ANECDOTE, A,8,11,39
ANECDOTIST, A,10,13,45
ANELECTRODE, A,11,14,48
ANELECTROTONUS, A,14,16,54
ANELYTROUS, A,10,13,47
ANEMATOSIS, A,10,12,42
ANEMIA, A,6,8,22
ANEMIC, A,6,10,26
ANEMOBIAGRAPH, A,13,23,77
ANEMOCHORD, A,10,18,62
ANEMOGRAPH, A,10,18,62
ANEMOGRAPHIC, A,12,22,74
ANEMOGRAPHY, A,11,22,74
ANEMOLOGICAL, A,12,17,57
ANEMOLOGY, A,9,15,53
ANEMONAL, A,8,10,36
ANEMONE, A,7,9,27
ANEMONELLA, A,10,12,42
ANEMONIN, A,8,10,36
ANEMONOL, A,8,10,36
ANEMONY, A,7,12,36
ANEMOPATHY, A,10,20,68
ANEMOPHILE, A,10,17,59
ANEMOPHILOUS, A,12,19,65
ANEMOPHILY, A,10,20,68
ANEMOPSIS, A,9,13,45
ANEMOSCOPE, A,10,16,54
ANEMOSIS, A,8,10,36
ANEMOTROPIC, A,11,17,57
ANENCEPHALIA, A,12,19,65
ANENCEPHALOUS, A,13,20,68
ANENCEPHALUS, A,12,19,65
ANENCEPHALY, A,11,21,71
ANENERGIA, A,9,10,34
ANENTEROUS, A,10,10,32
ANEPIA, A,6,8,22
ANEPITHYMIA, A,11,21,71
ANERETHISIA, A,11,14,50
ANERETIC, A,8,10,36
ANERGIA, A,7,8,22
ANERGIC, A,7,10,29
ANERGY, A,6,10,28
ANERLY, A,6,9,26
ANEROID, A,7,8,22
ANEROIDOGRAPH, A,13,20,68
ANEROTIC, A,8,10,36
ANESTHESIA, A,10,13,47
ANESTHESIANT, A,12,15,53
ANESTHESIMETER, A,14,19,65
ANESTHESIOLOGY, A,14,21,71
ANESTHESIS, A,10,13,47
ANESTHETIC, A,10,15,53
ANESTHETICALLY, A,14,22,74
ANESTHETIST, A,11,14,50
ANESTHYL, A,8,14,50
ANETHOLE, A,8,11,41
ANETHUM, A,7,12,36
ANETIOLOGICAL, A,13,16,54
ANEUPLOID, A,9,12,42
ANEUPLOIDY, A,10,16,56
ANEURIC, A,7,9,27
ANEURISM, A,8,10,36
ANEURISMALLY, A,12,17,59
ANEURYSM, A,8,13,47
ANEURYSMAL, A,10,15,53
ANEURYSMATIC, A,12,19,65
ANFRACTUOSE, A,11,16,56
ANFRACTUOSITY, A,13,21,71
ANFRACTUOUS, A,11,16,56
ANFRACTURE, A,10,15,53
ANGAMI, A,6,9,24
ANGARALITE, A,10,11,37
ANGARIA, A,7,8,22
ANGARY, A,6,10,28
ANGDISTIS, A,9,11,37
ANGELATE, A,8,9,31
ANGELDOM, A,8,12,42
ANGELENO, A,8,9,31
ANGELET, A,7,8,22
ANGELEYES, A,9,13,47
ANGELFISH, A,9,16,56
ANGELHOOD, A,9,14,50
ANGELIC, A,7,10,29
ANGELICA, A,8,11,39
ANGELICAL, A,9,12,42
ANGELICALLY, A,11,17,59
ANGELICALNESS, A,13,16,54
ANGELICAN, A,9,12,42
ANGELICO, A,8,11,39
ANGELIN, A,7,8,22
ANGELINA, A,8,9,31
ANGELINE, A,8,9,31
ANGELOGRAPHER, A,13,20,68
ANGELOLATER, A,11,12,40
ANGELOLATRY, A,11,15,53
ANGELOLOGIC, A,11,15,51
ANGELOLOGICAL, A,13,17,57
ANGELOLOGY, A,10,15,53
ANGELOMACHY, A,11,22,74
ANGELONIA, A,9,10,34
ANGELOPHANY, A,11,20,68
ANGELOT, A,7,8,22
ANGELSHIP, A,9,15,53
ANGELUS, A,7,8,22
ANGERLY, A,7,11,34
ANGERONA, A,8,9,31
ANGERONALIA, A,11,12,40
ANGETENAR, A,9,10,34
ANGEVIN, A,7,11,34
ANGIASTHENIA, A,12,16,56
ANGICO, A,6,9,24
ANGIECTASIS, A,11,14,48
ANGIECTOPIA, A,11,16,54
ANGIITIS, A,8,9,31
ANGILD, A,6,8,20
ANGINAL, A,7,8,22
ANGINIFORM, A,10,16,56
ANGINOID, A,8,10,34
ANGINOSE, A,8,9,31
ANGINOUS, A,8,9,31
ANGIOASTHENIA, A,13,17,59
ANGIOBLAST, A,10,13,45
ANGIOBLASTIC, A,12,17,57
ANGIOCARDITIS, A,13,17,57
ANGIOCARP, A,9,14,48
ANGIOCARPIAN, A,12,17,57
ANGIOCARPOUS, A,12,17,57
ANGIOCAVERNOUS, A,14,20,68
ANGIOCHOLITIS, A,13,19,65
ANGIOCHONDROMA, A,14,23,77
ANGIOCLAST, A,10,13,45
ANGIOCYST, A,9,15,53
ANGIODIASCOPY, A,13,22,74
ANGIOFIBROMA, A,12,20,68
ANGIOGENESIS, A,12,14,46
ANGIOGENIC, A,10,14,48
ANGIOGENY, A,9,14,50
ANGIOGLIOMA, A,11,15,51
ANGIOGRAPH, A,10,17,59
ANGIOGRAPHY, A,11,21,71
ANGIOHYPOTONIA, A,14,23,77
ANGIOID, A,7,9,24
ANGIOLEUCITIS, A,13,16,54
ANGIOLIPOMA, A,11,16,54
ANGIOLITH, A,9,13,47
ANGIOLOGY, A,9,14,50
ANGIOLYMPHITIS, A,14,25,83
ANGIOMA, A,7,10,29
ANGIOMALACIA, A,12,17,57
ANGIOMATOSIS, A,12,15,51
ANGIOMATOUS, A,11,14,48
ANGIOMEGALY, A,11,18,62
ANGIOMETER, A,10,13,45
ANGIONEOPLASM, A,13,18,60
ANGIONEUROSIS, A,13,14,46
ANGIONEUROTIC, A,13,16,54
ANGIONOMA, A,9,12,42
ANGIONOSIS, A,10,11,37
ANGIOPARALYSIS, A,14,20,68
ANGIOPARALYTIC, A,14,22,74
ANGIOPARESIS, A,12,15,51
ANGIOPATHY, A,10,19,65
ANGIOPHOROUS, A,12,18,62
ANGIOPLANY, A,10,16,56
ANGIOPLASTY, A,11,17,59
ANGIOPLEROSIS, A,13,16,54
ANGIOPOIETIC, A,12,17,57
ANGIOPRESSURE, A,13,16,54
ANGIORRHAGIA, A,12,17,59
ANGIORRHEA, A,10,14,50
ANGIOSARCOMA, A,12,17,57
ANGIOSCLEROSIS, A,14,17,57
ANGIOSCOPE, A,10,15,51
ANGIOSIS, A,8,9,31
ANGIOSPASM, A,10,15,51
ANGIOSPASTIC, A,12,17,57
ANGIOSPERM, A,10,15,51
ANGIOSPERMAE, A,12,17,57
ANGIOSPERMAL, A,12,17,57
ANGIOSPERMIC, A,12,19,63
ANGIOSPERMOUS, A,13,18,60
ANGIOSPOROUS, A,12,15,51
ANGIOSTEGNOSIS, A,14,16,52
ANGIOSTENOSIS, A,13,14,46
ANGIOSTEOSIS, A,12,13,43
ANGIOSTOMY, A,10,16,56
ANGIOSTROPHY, A,12,21,71
ANGIOTASIS, A,10,11,37
ANGIOTHLIPSIS, A,13,19,65
ANGIOTOME, A,9,12,42
ANGIOTOMY, A,9,15,53
ANGIOTONIC, A,10,13,45
ANGIOTONIN, A,10,11,37
ANGIOTRIBE, A,10,13,45
ANGIOTRIPSY, A,11,17,59
ANGIOTROPHIC, A,12,20,68
ANGLAISE, A,8,9,31
ANGLEBERRY, A,10,16,56
ANGLED, A,6,8,20
ANGLEPOD, A,8,12,42
ANGLESITE, A,9,10,34
ANGLESMITH, A,10,16,56
ANGLETOUCH, A,10,16,56
ANGLETWITCH, A,11,20,68
ANGLEWING, A,9,14,50
ANGLEWISE, A,9,13,47
ANGLEWORM, A,9,15,53
ANGLIAN, A,7,8,22
ANGLIC, A,6,9,24
ANGLICAN, A,8,11,39
ANGLICANISM, A,11,16,54
ANGLICANLY, A,10,16,56
ANGLICANUM, A,10,15,51
ANGLICISM, A,9,14,48
ANGLICIST, A,9,12,42
ANGLIFICATION, A,13,19,65
ANGLIFY, A,7,14,40
ANGLIMANIAC, A,11,16,54
ANGLING, A,7,9,24
ANGLISH, A,7,11,34
ANGLIST, A,7,8,22
ANGLISTICS, A,10,13,45
ANGLOGAEA, A,9,11,37
ANGLOGAEAN, A,10,12,40
ANGLOID, A,7,9,24
ANGLOMAN, A,8,11,39
ANGLOMANE, A,9,12,42
ANGLOMANIA, A,10,13,45
ANGLOMANIAC, A,11,16,54
ANGLOPHILE, A,10,16,56
ANGLOPHOBE, A,10,18,62
ANGLOPHOBIA, A,11,19,65
ANGLOPHOBIAC, A,12,22,74
ANGLOPHOBIC, A,11,21,71
ANGLOPHOBIST, A,12,20,68
ANGOLAR, A,7,8,22
ANGOLESE, A,8,9,31
ANGOSTURA, A,9,10,34
ANGOULEME, A,9,12,42
ANGOUMIAN, A,9,12,42
ANGRAECUM, A,9,14,48
ANGRILY, A,7,11,34
ANGRINESS, A,9,10,34
ANGRITE, A,7,8,22
ANGSTER, A,7,8,22
ANGSTROM, A,8,11,39
ANGUID, A,6,8,20
ANGUIDAE, A,8,10,34
ANGUIFORM, A,9,15,53
ANGUILLA, A,8,9,31
ANGUILLARIA, A,11,12,40
ANGUILLIDAE, A,11,13,43
ANGUILLIFORM, A,12,18,62
ANGUILLOID, A,10,12,40
ANGUILLULA, A,10,11,37
ANGUILLULIDAE, A,13,15,49
ANGUIMORPHA, A,11,19,65
ANGUINE, A,7,8,22
ANGUINEAL, A,9,10,34
ANGUINEOUS, A,10,11,37
ANGUINIDAE, A,10,12,40
ANGUIPED, A,8,12,42
ANGUISH, A,7,11,34
ANGUISHED, A,9,14,50
ANGUISHFUL, A,10,17,59
ANGUISHOUS, A,10,14,50
ANGUISHOUSLY, A,12,19,65
ANGULAR, A,7,8,22
ANGULARE, A,8,9,31
ANGULARITY, A,10,14,50
ANGULARLY, A,9,13,47
ANGULARNESS, A,11,12,40
ANGULATE, A,8,9,31
ANGULATED, A,9,11,37
ANGULATELY, A,10,14,50
ANGULATENESS, A,12,13,43
ANGULATION, A,10,11,37
ANGULIFEROUS, A,12,16,56
ANGULINERVED, A,12,17,59
ANGULOA, A,7,8,22
ANGULODENTATE, A,13,15,49
ANGULOMETER, A,11,14,48
ANGULOSITY, A,10,14,50
ANGULOSPLENIAL, A,14,17,57
ANGULOUS, A,8,9,31
ANGURIA, A,7,8,22
ANGUSTICLAVE, A,12,18,62
ANGUSTIFOLIATE, A,14,18,62
ANGUSTIFOLIOUS, A,14,18,62
ANGUSTISELLATE, A,14,15,49
ANGUSTISEPTAL, A,13,16,54
ANGUSTISEPTATE, A,14,17,57
ANGWANTIBO, A,10,16,56
ANHALAMINE, A,10,15,53
ANHALINE, A,8,11,41
ANHALONINE, A,10,13,47
ANHALONIUM, A,10,15,53
ANHALOUIDINE, A,12,16,56
ANHANG, A,6,10,28
ANHANGA, A,7,11,34
ANHARMONIC, A,10,17,59
ANHEDONIA, A,9,13,47
ANHEDRAL, A,8,12,44
ANHEDRON, A,8,12,44
ANHELATION, A,10,13,47
ANHELOUS, A,8,11,41
ANHEMATOSIS, A,11,16,56
ANHEMOLYTIC, A,11,21,71
ANHIDROSIS, A,10,14,50
ANHIDROTIC, A,10,16,56
ANHIMA, A,6,11,30
ANHIMAE, A,7,12,36
ANHIMIDAE, A,9,15,53
ANHINGA, A,7,11,34
ANHISTIC, A,8,13,47
ANHISTOUS, A,9,12,44
ANHUNGERED, A,10,15,53
ANHUNGRY, A,8,15,53
ANHYDRATE, A,9,16,56
ANHYDRATION, A,11,18,62
ANHYDREMIA, A,10,19,65
ANHYDREMIC, A,10,21,71
ANHYDRIC, A,8,17,59
ANHYDRIDE, A,9,17,59
ANHYDRITE, A,9,16,56
ANHYDROGLOCOSE, A,14,24,80
ANHYDROUS, A,9,16,56
ANHYSTERETIC, A,12,20,68
ANICONISM, A,9,13,45
ANICULAR, A,8,10,36
ANICUT, A,6,8,22
ANIDIAN, A,7,8,22
ANIDIOMATIC, A,11,16,54
ANIDIOMATICAL, A,13,18,60
ANIDROSIS, A,9,10,34
ANIELLIDAE, A,10,11,37
ANIGHT, A,6,10,28
ANIGHTS, A,7,11,34
ANILENESS, A,9,9,29
ANILIC, A,6,8,22
ANILIDE, A,7,8,22
ANILIDIC, A,8,11,39
ANILINISM, A,9,11,39
ANILINOPHILE, A,12,17,59
ANILINOPHILOUS, A,14,19,65
ANILITY, A,7,10,32
ANILOPYRIN, A,10,15,53
ANILOPYRINE, A,11,16,56
ANIMABILITY, A,11,18,62
ANIMABLE, A,8,12,42
ANIMABLENESS, A,12,16,54
ANIMADVERSION, A,13,19,65
ANIMADVERT, A,10,16,56
ANIMADVERTER, A,12,18,62
ANIMAL, A,6,8,22
ANIMALCULA, A,10,14,48
ANIMALCULAE, A,11,15,51
ANIMALCULAR, A,11,15,51
ANIMALCULE, A,10,14,48
ANIMALCULINE, A,12,16,54
ANIMALCULIST, A,12,16,54
ANIMALCULOUS, A,12,16,54
ANIMALHOOD, A,10,16,56
ANIMALIA, A,8,10,36
ANIMALIAN, A,9,11,39
ANIMALIC, A,8,12,42
ANIMALIER, A,9,11,39
ANIMALISH, A,9,14,50
ANIMALIST, A,9,11,39
ANIMALISTIC, A,11,15,51
ANIMALITY, A,9,14,50
ANIMALIVORA, A,11,16,56
ANIMALIVORE, A,11,16,56
ANIMALIVOROUS, A,13,18,62
ANIMALLY, A,8,13,47
ANIMASTIC, A,9,13,45
ANIMASTICAL, A,11,15,51
ANIMATE, A,7,9,27
ANIMATED, A,8,11,39
ANIMATEDLY, A,10,16,56
ANIMATELY, A,9,14,50
ANIMATENESS, A,11,13,45
ANIMATER, A,8,10,36
ANIMATING, A,9,12,42
ANIMATINGLY, A,11,17,59
ANIMATION, A,9,11,39
ANIMATISTIC, A,11,15,51
ANIMATIVE, A,9,14,50
ANIMATOGRAPH, A,12,20,68
ANIMATOR, A,8,10,36
ANIMIST, A,7,9,27
ANIMISTIC, A,9,13,45
ANIMOSITY, A,9,14,50
ANIMOUS, A,7,9,27
ANIMUS, A,6,8,22
ANIONIC, A,7,9,27
ANIRIDIA, A,8,9,31
ANISALCOHOL, A,11,16,56
ANISALDEHYDE, A,12,20,68
ANISAMIDE, A,9,12,42
ANISANDROUS, A,11,12,40
ANISANILIDE, A,11,12,40
ANISCHURIA, A,10,15,53
ANISEED, A,7,8,22
ANISEROOT, A,9,9,29
ANISETTE, A,8,8,26
ANISIC, A,6,8,22
ANISIDIN, A,8,9,31
ANISIDINE, A,9,10,34
ANISILIC, A,8,10,36
ANISOCARPOUS, A,12,16,54
ANISOCHROMIA, A,12,19,65
ANISOCORIA, A,10,12,42
ANISOCYTOSIS, A,12,17,59
ANISODACTYL, A,11,17,59
ANISODACTYLA, A,12,18,62
ANISODACTYLI, A,12,18,62
ANISODACTYLOUS, A,14,20,68
ANISODONT, A,9,10,34
ANISOGAMETE, A,11,14,48
ANISOGAMOUS, A,11,14,48
ANISOGAMY, A,9,15,53
ANISOGENOUS, A,11,12,40
ANISOGENY, A,9,13,47
ANISOGNATHISM, A,13,19,65
ANISOGNATHOUS, A,13,17,59
ANISOGYNOUS, A,11,15,53
ANISOMELES, A,10,12,42
ANISOMELIA, A,10,12,42
ANISOMELUS, A,10,12,42
ANISOMERIC, A,10,14,48
ANISOMEROUS, A,11,13,45
ANISOMETRIC, A,11,15,51
ANISOMETROPE, A,12,16,54
ANISOMETROPIA, A,13,17,57
ANISOMETROPIC, A,13,19,63
ANISOMYARIAN, A,12,17,59
ANISOMYODI, A,10,16,56
ANISOMYODIAN, A,12,18,62
ANISOMYODOUS, A,12,18,62
ANISOPETALOUS, A,13,15,51
ANISOPHYLLOUS, A,13,21,71
ANISOPIA, A,8,10,36
ANISOPLEURAL, A,12,14,48
ANISOPLEUROUS, A,13,15,51
ANISOPOD, A,8,11,39
ANISOPODA, A,9,12,42
ANISOPODAL, A,10,13,45
ANISOPODOUS, A,11,14,48
ANISOPOGONOUS, A,13,16,54
ANISOPTERA, A,10,12,42
ANISOPTEROUS, A,12,14,48
ANISOSEPALOUS, A,13,15,51
ANISOSPORE, A,10,12,42
ANISOSTAMINOUS, A,14,16,54
ANISOSTEMONOUS, A,14,16,54
ANISOSTHENIC, A,12,17,59
ANISOSTICHOUS, A,13,18,62
ANISOSTICHUS, A,12,17,59
ANISOSTOMOUS, A,12,14,48
ANISOTONIC, A,10,12,42
ANISOTROPAL, A,11,13,45
ANISOTROPE, A,10,12,42
ANISOTROPIC, A,11,15,51
ANISOTROPICAL, A,13,17,57
ANISOTROPISM, A,12,16,54
ANISOTROPOUS, A,12,14,48
ANISOTROPY, A,10,15,53
ANISOYL, A,7,10,32
ANISUM, A,6,8,22
ANISURIA, A,8,8,26
ANISYL, A,6,9,26
ANISYLIDENE, A,11,15,53
ANITHER, A,7,10,32
ANITROGENOUS, A,12,13,43
ANLACE, A,6,8,22
ANNABEL, A,7,9,27
ANNABERGITE, A,11,14,48
ANNALINE, A,8,8,26
ANNALISM, A,8,10,36
ANNALIST, A,8,8,26
ANNALISTIC, A,10,12,42
ANNAMESE, A,8,10,36
ANNAMITE, A,8,10,36
ANNAMITIC, A,9,13,45
ANNAPURNA, A,9,11,39
ANNEALER, A,8,8,26
ANNECTENT, A,9,11,39
ANNECTION, A,9,11,39
ANNELID, A,7,8,22
ANNELIDA, A,8,9,31
ANNELIDAN, A,9,10,34
ANNELIDES, A,9,10,34
ANNELIDIAN, A,10,11,37
ANNELIDOUS, A,10,11,37
ANNELISM, A,8,10,36
ANNELLATA, A,9,9,29
ANNELOID, A,8,9,31
ANNERODITE, A,10,11,37
ANNESLIA, A,8,8,26
ANNIDALIN, A,9,10,34
ANNIELLIDAE, A,11,12,40
ANNIHILABILITY, A,14,22,74
ANNIHILABLE, A,11,16,56
ANNIHILATE, A,10,13,47
ANNIHILATION, A,12,15,53
ANNIHILATIVE, A,12,18,62
ANNIHILATOR, A,11,14,50
ANNIHILATORY, A,12,18,62
ANNIVERSARILY, A,13,19,65
ANNIVERSARY, A,11,17,59
ANNIVERSE, A,9,12,44
ANNODATED, A,9,11,37
ANNONACEAE, A,10,12,42
ANNONACEOUS, A,11,13,45
ANNOTATE, A,8,8,26
ANNOTATER, A,9,9,29
ANNOTATION, A,10,10,32
ANNOTATIVE, A,10,13,47
ANNOTATOR, A,9,9,29
ANNOTATORY, A,10,13,47
ANNOTINE, A,8,8,26
ANNOTINOUS, A,10,10,32
ANNOUNCE, A,8,10,36
ANNOUNCEABLE, A,12,16,54
ANNOUNCEMENT, A,12,16,54
ANNOUNCER, A,9,11,39
ANNOYANCE, A,9,14,50
ANNOYANCER, A,10,15,53
ANNOYER, A,7,10,32
ANNOYFUL, A,8,14,50
ANNOYING, A,8,12,44
ANNOYINGNESS, A,12,16,56
ANNOYMENT, A,9,14,50
ANNUALIST, A,9,9,29
ANNUALLY, A,8,11,41
ANNUARY, A,7,10,32
ANNUELER, A,8,8,26
ANNUITANT, A,9,9,29
ANNUITY, A,7,10,32
ANNULARIA, A,9,9,29
ANNULARITY, A,10,13,47
ANNULARLY, A,9,12,44
ANNULARY, A,8,11,41
ANNULATA, A,8,8,26
ANNULATE, A,8,8,26
ANNULATED, A,9,10,34
ANNULATION, A,10,10,32
ANNULETTEE, A,10,10,32
ANNULISM, A,8,10,36
ANNULLABLE, A,10,12,42
ANNULLATE, A,9,9,29
ANNULLATION, A,11,11,35
ANNULLER, A,8,8,26
ANNULMENT, A,9,11,39
ANNULOID, A,8,9,31
ANNULOIDA, A,9,10,34
ANNULOSA, A,8,8,26
ANNULOSAN, A,9,9,29
ANNULOSE, A,8,8,26
ANNUNCIABLE, A,11,15,51
ANNUNCIATE, A,10,12,42
ANNUNCIATION, A,12,14,48
